Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Lampropeltis,floridana,160–1763,23,S,210–221,E,44–58,2,10.7–17.0,0–10,0,2–30
Lampropeltis,gentilis,160–850,21–23,S,181–211,E,40–59,2,10.0–15.9,100–2440,0,4–12
Lampropeltis,getula,202–2083,19–25,S,200–223,E,35–58,2,9.0–17.4,0–2500,0,2–29
Lampropeltis,greeri,263–1070,21–25,S,197–211,E,51–66,2,12.2–16.3,1830–2605,0,5–12
Lampropeltis,herrerae,653–1066,23,S,202–220,E,46–77,2,14.0–17.2,0–95,0,–
Lampropeltis,holbrooki,230–1829,19–21/25,S,197–225,E,37–59,2,9.6–14.9,0–1200,0,2–25
Lampropeltis,knoblochi,180–1350,23–25,S,210–263,E,59–79,2,14.0–18.6,840–2775,0,1–10
Lampropeltis,leonis,200–1219,23,S,194–212,E,50,2,15.7–16.7,1035–2270,0,6–12
Lampropeltis,meansi,280–2083,21,S,206–222,E,42–55,2,12.3–14.0,0–40,0,3–30
Lampropeltis,mexicana,150–1471,21–27,S,190–232,E,51–69,2,14.0–18.8,370–2440,0,2–15
Lampropeltis,micropholis,274–1600,19–23,S,205–244,E,39–63,2,11.4–17.5,20–2920,0,5–16
Lampropeltis,multifasciata,175–1219,23,S,205–224,E,52–62,2,13.3–19.3,0–2745,0,–
Lampropeltis,nigra,238–1830,19–21,S,197–222,E,35–59,2,9.1–14.6,0–2225,0,4–24
Lampropeltis,nigrita,202–1400,23–25,S,213–255,E,47–56,2,12.0–13.5,10–1500,0,4–12
Lampropeltis,occipitolineata,120–1070,21,S,209–213,E,46,2,12.2–12.6,0–20,0,5–11
Lampropeltis,polyzona,180–1226,21–23,S,192–235,E,45–62,2,12.3–16.4,5–3000,0,3–24
Lampropeltis,pyromelana,201–1088,21–25,S,198–238,E,59–79,2,13.4–20.9,850–2805,0,1–10
Lampropeltis,rhombomaculata,120–1430,19–23,S,186–213,E,31–55,2,10.1–16.2,0–300,0,3–21
Lampropeltis,ruthveni,150–1190,21–25,S,182–196,E,49–57,2,15.0–16.0,795–2665,0,4–12
Lampropeltis,splendida,177–1800,17–25,S,197–237,E,40–62,2,10.0–15.5,45–2175,0,4–12
Lampropeltis,triangulum,127–1321,19–23,S,154–244,E,31–63,2,10.0–19.5,40–3330,0,1–24
Lampropeltis,webbi,266–500,21,S,216–221,E,45–67,2,16.9–17.5,540–2395,0,–
Lampropeltis,zonata,173–1244,21–25,S,194–227,E,45–62,2,12.7–18.2,20–3330,0,2–13
Lamprophis,aurora,150–900,19–25,S,165–185,E,28–58,2,12.9–20.2,0–1700,0,4–12
Lamprophis,fiskii,230–425,21–23,S,178–183,E,28–34,2,10.8–12.8,0–1790,0,3–8
Lamprophis,fuscus,225–864,19,S,165–202,E,51–74,2,17.9–27.0,0–1810,0,–
Langaha,alluaudi,961–1100,19,k,152–161,D,144–151,2,41.6–42.7,0–200,0,–
Langaha,madagascariensis,176–1600,19,k,144–158,E(D),128–143,2,38.9–47.2,5–540,0,5–12
Langaha,pseudoalluaudi,1290,19,k,159,D,150,2,40.3,35–300,0,3
Lapemis,curtus,190–1060,23–46,Kkt,110–240,D,25–46,1,6.6–13.6,–55 to 5,1,1–15
Laticauda,colubrina,228–1950,19–27,S,195–249,D,26–48,2,7.4–19.4,–60 to 50,0,4–53
Laticauda,crockeri,415–885,19–23,S,192–210,D,24–39,2,10.1–15.6,0–20,0(1),7
Laticauda,frontalis,327–805,19–23,S,192–234,D,19–44,2,6.8–16.8,0–10,0,–
Laticauda,guineai,790–1457,23,S,234–239,D,33–43,2,6.8–15.2,0,0,–
Laticauda,laticaudata,262–1500,17–21,S,192–277,D,25–48,2,8.8–13.9,–80 to 25,0,1–15
Laticauda,saintgironsi,276–1490,19–25,S,211–230,D,25–47,2,8.1–13.5,–85 to 100,0,1–19
Laticauda,schistorhynchus,670–1209,21–25,S,178–205,D,32–40,2,9.4–14.9,–40 to 0,0,1–20
Laticauda,semifasciata,306–1400,21–23,S,178–218,D,21–43,2,6.9–14.2,–40 to 5,0,3–12
Leimadophis,almadensis,146–603,19,S,142–177,D,45–83,2,14.5–29.3,25–1700,0,4–10
Leimadophis,atraventer,392–827,19,S,141–149,D,49–57,2,16.6–24.7,25–1310,0,8–12
Leimadophis,carajasensis,429–538,18–19,S,152–160,D,67–76,2,23.6–24.9,600–800,0,–
Leimadophis,jaegeri,146–676,15–17,S,146–169,D,52–75,2,18.1–26.8,25–1310,0,2–14
Leimadophis,maryellenae,295–530,19,S,144–159,D,62–82,2,22.1–25.4,600–1040,0,–
Leimadophis,viridis,153–597,19,S,169–202,D,63–84,2,19.3–24.9,0–510,0,2–7
Leioheterodon,geayi,930–1400,23,S,195–205,E,61–68,3,20.4–21.3,85–1110,0,–
Leioheterodon,madagascariensis,207–1570,23,S,206–216,E,62–73,3,16.0–17.8,10–1200,0,3–14
Leioheterodon,modestus,831–1200,21,S,159–165,E,55–65,3,19.6–21.6,20–1200,0,–
Leiopython,albertisii,250–2738,43–55,S,259–283,E,62–79,2(3),11.3–16.2,5–1650,0,3–20
Leiopython,fredparkeri,510–3100,43–54,S,258–282,E,62–78,2(3),13.5–15.0,1000–1500,0,5–13
Leptodeira,annulata,145–1038,17–25,S,172–203,D,72–108,2,20.1–41.6,10–2300,0,2–13
Leptodeira,approximans,382–870,17–19,S,180–196,D,79–104,2,24.8–27.5,20,0,2–7
Leptodeira,ashmeadii,158–989,17–23,S,167–197,D,67–97,2,26.1–41.7,5–1030,0,3–11
Leptodeira,bakeri,156–691,17,S,170–175,D,71–73,2,22.6–34.2,10–150,0,6
Leptodeira,frenata,155–736,17–23,S,164–192,D,61–86,2,19.7–32.2,0–1000,0,2–7
Leptodeira,larcorum,163–882,17–21,S,175–199,D,77–94,2,29.7–39.6,115–1855,0,–
Leptodeira,maculata,145–890,21–25,S,158–185,D,54–84,2,18.2–35.6,0–2300,0,1–12
Leptodeira,misinawui,523–618,19–21,S,180–183,D,76–90,2,23.0–28.0,950–2735,0,–
Leptodeira,nigrofasciata,133–735,17–19,S,161–198,D,50–76,2,18.4–38.0,30–1600,0,6–11
Leptodeira,ornata,137–865,19–23,S,169–198,D,72–107,2,24.5–40.5,5–1830,0,4–12
Leptodeira,polysticta,164–1055,21–23,S,186–211,D,73–107,2,18.2–37.9,75–2215,0,2–12
Leptodeira,pulchriceps,190–788,21,S,171–200,D,53–89,2,17.6–34.3,90–315,0,4–13
Leptodeira,punctata,137–621,19,S,150–167,D,54–69,2,21.0–35.1,20–1690,0,6–11
Leptodeira,rhombifera,151–709,21–25,S,150–184,D,54–89,2,18.1–39.0,0–1530,0,4–12
Leptodeira,rubricata,138–750,21–23,S,177–182,D,73–107,2,14.9–34.8,0–25,0,3–6
Leptodeira,septentrionalis,166–1055,19–25,S,170–211,D,54–107,2,19.0–40.5,5–2440,0,1–13
Leptodeira,splendida,155–888,21,S,160–184,D,69–87,2,22.4–38.0,10–1690,0,9
Leptodeira,tarairiu,387–1011,19–23,S,182–212,D,73–107,2,22.2–26.7,30–1250,0,–
Leptodeira,uribei,428–700,23,S,188–200,D,64–92,2,18.7–23.1,10–1055,0,5–6
Leptodrymus,pulcherrimus,399–1600,17,S,191–210,D,142–154,2,31.5–36.5,10–2000,0,4
Leptomicrurus,collaris,179–600,15,S,212–250,E,12–30,2,3.5–7.3,0–900,0,3–14
Leptomicrurus,melanotus,617–1173,15,S,239–381,E,16–35,2,3.4–8.1,290–1100,0,–
Leptomicrurus,narduccii,198–1157,15,S,222–382,E,15–35,2,3.5–6.9,100–1500,0,–
Leptomicrurus,renjifoi,182–427,15,S,238–243,E,16–19,2,4.6–4.8,10–155,0,–
Leptomicrurus,scutiventris,237–445,15,S,206–274,E,15–27,2,3.8–8.1,60–1200,0,–
Leptophis,ahaetulla,159–2250,15,S/k,147–186,D(E),135–185,2,32.1–43.2,5–2750,0,1–12
Leptophis,bocourti,1212–1670,15,S/k,157–167,D,164–186,2,29.3–38.9,30–2785,0,–
Leptophis,bolivianus,361+–1143,15,S/k,152–173,D,131–157,2,37.4–38.7,195–500,0,–
Leptophis,coeruleodorsus,240–1523,15,S/k,144–178,D,125–174,2,38.1–42.2,30–1390,0,3–5
Leptophis,cupreus,266–1326,15,S/k,130–171,D,133–166,2,38.1–40.8,15–1880,0,2
Leptophis,depressirostris,186–993,15,S/k,144–158,D,158–170,2,35.1–39.7,5–1560,0,1–10
Leptophis,dibernardoi,1390–1443,15,S/k,158–177,D,137–162,2,35.5–37.6,10–550,0,3–12
Leptophis,diplotropis,260–1409,13–15,S/k,163–186,D,126–166,2,33.8–36.2,0–2575,0,2–13
Leptophis,liocercus,529+–2080,15,S/k,150–173,D,144–173,2,36.2–40.8,5–870,0,6
Leptophis,marginatus,240–1478,15,S/k,152–185,D,120–162,2,31.9–47.9,25–730,0,9–12
Leptophis,mexicanus,145–1277,15,S/k,145–183,D(E),140–181,2,27.7–42.5,5–1720,0,2–12
Leptophis,modestus,1020–2003,15,S/k,167–183,D,155–186,2,36.4–42.3,1335–2590,0,–
Leptophis,nebulosus,352–600,15,S/k,150–160,D,145–151,2,37.0–42.4,20–1675,0,8
Leptophis,nigromarginatus,480–1520,15,S/k,144–182,D/E,129–182,2,33.7–40.2,35–700,0,1–6
Leptophis,occidentalis,240–1610,15,S/k,147–183,D,153–194,2,34.2–41.4,10–2410,0,3–6
Leptophis,praestans,644+–2086,15,S/k,162–186,D,159–186,2,33.0–36.9,0–1290,0,–
Leptophis,riveti,362–1000,15,S/k,133–155,D,135–145,2,30.0–42.2,5–1800,0,–
Leptophis,stimsoni,300–832,15,S/k,141–147,D,135–145,2,28.7–40.3,135–915,0,–
Leptophis,urostictus,1510–1777,13–15,S/k,153–168,D,164–181,2,39.2–41.1,100–480,0,–
Leptotyphlops,aethiopicus,161,14,S,239–261,E,22–29,U,7.3–9.9,1000–2100,0,–
Leptotyphlops,conjunctus,58–253,14,S,183–292,E,19–36,U,5.3–12.0,15–1720,0,2–7
Leptotyphlops,distanti,80–240,14,S,230–307,E,19–30,U,5.7–9.4,0–1600,0,–
Leptotyphlops,emini,94–165,14,S,185–265,E,20–32,U,6.5–12.3,650–2200,0,2–5
Leptotyphlops,howelli,135–158,14,S,229–237,E,30–32,U,9.3–11.4,15–1180,0,–
Leptotyphlops,incognitus,115–193,14,S,223–292,E,25–35,U,7.8–13.0,45–1800,0,3–4
Leptotyphlops,jacobseni,150–210,14,S,244–289,E,19–25,U,5.5–7.7,750–1700,0,–
Leptotyphlops,kafubi,122–178,14,S,209–267,E,19–27,U,6.5–10.7,585–1500,0,2–3
Leptotyphlops,keniensis,189–189,14,S,239–265,E,20–26,U,7.4–9.1,1000–2000,0,–
Leptotyphlops,latirostris,103–155,14,S,204–244,E,21–28,U,6.3–13.0,700–1565,0,–
Leptotyphlops,lepezi,90–125,14,S,235,E,30,U,10.0–11.2,30–320,0,–
Leptotyphlops,macrops,158–292,14,S,272–322,E,30–44,U,7.8–12.5,0–100,0,2–3
Leptotyphlops,mbanjensis,101–135,14,S,185–202,E,20–26,U,7.4–11.8,90–130,0,–
Leptotyphlops,merkeri,87–231,14,S,201–306,E,18–30,U,4.8–12.7,0–1600,0,–
Leptotyphlops,monticolus,114–154,14,S,204–247,E,25–31,U,7.4–13.0,900–1965,0,–
Leptotyphlops,nigricans,58–200,14,S,202–260,E,20–33,U,6.0–13.2,15–1510,0,–
Leptotyphlops,nigroterminatus,153–193,14,S,228–300,E,23–27,U,5.0–8.5,10–1585,0,–
Leptotyphlops,pembae,80–220,14,S,247–269,E,28–39,U,8.5–16.1,0–90,0,–
Leptotyphlops,pitmani,112–185,14,S,217–272,E,20–21,U,6.3–10.3,15–1830,0,–
Leptotyphlops,pungwensis,91,14,S,249–252,E,20–21,U,6.6,25–50,0,–
Leptotyphlops,scutifrons,88–280,14,S,197–309,E,19–30,U,4.6–10.9,10–2025,0,1–7
Leptotyphlops,sylvicolus,92–126,14,S,171–194,E,18–23,U,7.8–11.5,10–1510,0,3
Leptotyphlops,telloi,130–180,14,S,241–163,E,24–26,U,6.3–7.9,125–700,0,–
Letheobia,acutirostrata,320–447,24,S,440–513,U,9–13,U,0.9–1.8,150–600,0,6
Letheobia,akagerae,458,22,S,834,U,13,U,1.3,1290,0,–
Letheobia,angeli,365,24,S,508,U,–,U,1.4,500,0,–
Letheobia,caeca,100–443,22–26,S,417–561,U,10–12,U,0.9–1.7,65–1300,0,–
Letheobia,crossii,238–385,22–24,S,455–513,U,8–15,U,1.0–1.9,55–545,0,–
Letheobia,debilis,334–480,18–20,S,547–668,U,7–11,U,0.7–0.9,450–800,0,–
Letheobia,decorosa,204–520,24,S,460–542,U,10–12,U,1.1–1.8,10–1775,0,–
Letheobia,episcopus,250–370,20,S,544–595,U,11–15,U,0.8–1.6,350–640,0,–
Letheobia,erythraea,205–250,21–23,S,443–462,U,11–15,U,1.7–2.0,1800–2180,0,–
Letheobia,feae,169–330,20–22,S,406–480,U,8–12,U,1.0–1.5,165–1220,0,–
Letheobia,gracilis,237–550,22–24,S,629–737,U,8–14,U,0.7–1.1,600–1600,0,–
Letheobia,graueri,198–450,24,S,454–622,U,7–15,U,0.9–1.8,700–2500,0,–
Letheobia,jubana,211–510,24,S,391–439,U,5–8,U,1.0–1.4,20,0,–
Letheobia,kibarae,191–525,24–26,S,562–645,U,7–11,U,0.7–1.3,700–1250,0,–
Letheobia,largeni,270–274,22,S,432,U,10,U,1.5,515,0,–
Letheobia,leucosticta,222–230,22–24,S,336–408,U,8–9,U,1.0–1.6,100,0,–
Letheobia,logonensis,390,24,S,534–545,U,8,U,0.9,810,0,–
Letheobia,lumbriciformis,252–450,18,S,465–641,U,11–17,U,1.3–1.7,0–55,0,–
Letheobia,manni,343–360,24–26,S,480–508,U,8,U,1.4–1.5,5–100,0,–
Letheobia,mbeerensis,280,20,S,670,U,20,U,2.9,1220,0,–
Letheobia,newtoni,280–400,26–28,S,446–567,U,10–12,U,1.0–2.0,5–515,0,–
Letheobia,pallida,113–265,22–24,S,380–466,U,7–10,U,0.9–2.3,0–55,0,–
Letheobia,pauwelsi,310,22,S,483,U,11,U,1.6,580,0,–
Letheobia,pembana,158–158,24,S,353,U,10,U,1.6,0–100,0,–
Letheobia,praeocularis,337–438,22–28,S,423–545,U,7–12,U,0.9–1.9,240–700,0,–
Letheobia,rufescens,296–520,20,S,585–656,U,6–9,U,0.7–0.8,430–650,0,–
Letheobia,simoni,160–239,20–22,S,403–488,U,9–14,U,1.0–2.2,–400 to 965,0,2–5
Letheobia,somalica,220–670,24–30,S,510–696,U,11–15,U,0.7–1.5,600–2500,0,–
Letheobia,stejnegeri,296–465,26–30,S,479–548,U,10–12,U,1.0–1.5,300–475,0,–
Letheobia,sudanensis,173–520,24–27,S,569–713,U,8–13,U,0.9–1.9,700–1300,0,–
Letheobia,swahilica,123–191,22,S,376–416,U,8–13,U,1.1–2.2,0–50,0,–
Letheobia,toritensis,106–270,22–24,S,427–487,U,7–13,U,0.9–1.8,620–1200,0,–
Letheobia,uluguruensis,150–245,20–24,S,376–416,U,8–13,U,1.2–2.6,760–1000,0,–
Letheobia,wiedholzi,376–390,24,S,534–651,U,8–9,U,0.9–1.1,525–740,0,–
Letheobia,wittei,285–310,20,S,488–511,U,5–6,U,0.7–0.8,520,0,–
Letheobia,wrayi,245–245,20,S,355,U,8,U,1.2,1065,0,–
Letheobia,zenkeri,105–150,18,S,250–281,U,9,U,1.7–3.0,15–620,0,–
Levitonius,mirus,163–191,15,S,107–124,E,17–31,1,9.3–17.8,185–490,0,–
Liasis,fuscus,350–3000,40–50,S,271–300,E,60–90,2(3),12.0–25.0,10–520,0,3–24
Liasis,mackloti,270–2850,46–65,S,270–304,E,65–96,2(3),12.3–18.3,10–450,0,3–22
Liasis,olivaceus,325–4500,58–80,S,321–411,E,90–119,2(3),12.7–19.0,5–650,0,5–31
Liasis,papuana,430–5130,63–72,S,358–374,E,82–88,2(3),10.5–18.3,5–920,0,10–35
Lichanura,orcutti,250–1120,39–45,S,220–236,E,39–47,1,10.4–11.2,10–2070,1,–
Lichanura,roseofusca,210–1118,39–45,S,220–241,E,40–49,1,13.0–14.0,105–2070,1,3–14
Lichanura,trivirgata,160–1120,40–43,S,216–229,E,42–50,1,9.5–18.2,100–1725,1,1–12
Limaformosa,capensis,290–1700,15,K,193–224,E,39–61,2,7.7–17.8,0–1500,0,3–13
Limaformosa,chanleri,700–1500,15,Kb,215–243,E,44–62,2,10.0–15.0,10–1800,0,–
Limaformosa,crossi,407+–1430,17–19,K,218–244,E,44–68,2,11.1–14.3,160–1175,0,–
Limaformosa,epinephelus,700–1485+,15,K,215–243,E,44–62,2,10.0–15.0,0–2200,0,–
Limaformosa,guirali,330–1300,15,K,228–265,E,51–70,2,12.7–20.3,5–1200,0,–
Limaformosa,savorgnani,400–1605,15,K,217–241,E,40–64,2,11.1–14.8,300–1530,0,5–13
Limaformosa,vernayi,700–1328,19,K,256,E,65,2,14.2–14.6,35–100,0,–
Limnophis,bangweolicus,290–685,19,S,131–150,E,32–64,2,15.0–26.0,950–1690,0,5–6
Limnophis,bicolor,300–760,19,S,127–143,E,37–61,2,16.0–25.3,100–1800,0,6–18
Limnophis,branchi,471–503,19,S,140–147,E,45–58,2,17.1–22.7,790,0,–
Liochlorophis,vernalis,83–797,15,S,106–157,D,59–102,2,24.5–38.8,0–2900,0,2–18
Liodytes,alleni,136–705,19,S/k,110–133,D,53–69,2,18.3–24.3,0–80,1,4–12
Liodytes,pygaea,101–622,17,S,112–141,D,35–56,2,15.3–25.0,10–220,1,2–23
Liodytes,rigida,150–830,18–21,K,120–144,D,50–71,2,18.0–23.5,0–300,1,6–19
Lioheterophis,iheringi,179–859,19–21,S,151–161,D,48–57,2,14.6–18.1,0–465,0,–
Liopeltis,phillipina,433–628,13–15,S,139–150,D,110–119,2,35.3–41.7,5–135,0,–
Liopeltis,stoliczkae,370–613,13–15,S,141–161,D,116–141,2,37.5–43.1,200–1470,0,–
Liopeltis,tiomanica,491,15,S,139–161,D,110–119,2,38.1,245–620,0,–
Liopeltis,tricolor,281–560,13–17,S,140–187,D,103–137,2,29.1–40.3,5–1200,0,–
Liophidium,apperti,238,17,S,145,D,52,2,21.0,200–615,0,–
Liophidium,chabaudi,446–490,17,S,150–154,D,34–46,2,13.5–17.7,10–755,0,–
Liophidium,maintikibo,255,17,S,193,D,56,2,19.6,55–535,0,–
Liophidium,mayottensis,238–1121,19,S,184–199,D,96–109,2,27.1–31.2,10–655,0,7–10
Liophidium,pattoni,325–417,17,S,160,D,54,2,20.7–21.7,15–1100,0,–
Liophidium,rhodogaster,467–712,17,S,181–192,D,61–84,2,19.7–27.7,20–1300,0,–
Liophidium,therezieni,400–726,17,S,218–235,D,46–63,2,12.6–16.5,20–230,0,–
Liophidium,torquatum,404–700,17,S,149–182,D,58–75,2,22.7–25.3,80–950,0,–
Liophidium,trilineatum,168–330,17,S,145–152,D,57–63,2,24.4–24.5,50–100,0,–
Liophidium,vaillanti,608–815,17,S,220–255,D,45–60,2,11.5–19.5,65–800,0,–
Liopholidophis,baderi,283–313,15,S,149–158,D,71–77,2,27.6–29.1,940,0,–
Liopholidophis,dimorphus,760–1072,17,S,146–163,D,79–134,2,29.5–42.6,300–1000,0,–
Liopholidophis,dolicocercus,528–1468,17,S,140–160,D,79–164,2,28.8–47.5,215–1400,0,5–7
Liopholidophis,grandidieri,611–1636,17,S,147–171,D,111–221,2,31.2–55.7,215–1375,0,4–5
Liopholidophis,oligolepis,234,15,S,137,D,54,2,23.3,480,0,–
Liopholidophis,rhadinaea,346–749,17,S,150–179,D,74–137,2,24.0–41.3,230–1250,0,2–3
Liopholidophis,sexlineatus,165–1410,17,S,135–163,D,67–160,2,24.0–52.1,500–2450,1,4–12
Liopholidophis,varius,300–889,17,S,139–154,D,67–103,2,23.2–3.7,435–1065,0,–
Liotyphlops,albirostris,70–340,20–22,S,367–520,U,10–22,U,1.7–4.3,0–1640,0,3
Liotyphlops,anops,125–395,24,S,547–597,U,12–18,U,1.4–2.7,250–1040,0,–
Liotyphlops,argaleus,101–261,22–24,S,482–533,U,15–24,U,1.7–1.9,160–1600,0,–
Liotyphlops,beui,106–381,20–24,S,366–532,U,10–22,U,1.5–3.5,155–1000,0,4–24
Liotyphlops,bondensis,180–204,20,S,363–449,U,11–17,U,1.1–1.8,65–990,0,–
Liotyphlops,caissara,138–195,20–22,S,296–326,U,10–14,U,2.1–4.0,0–300,0,–
Liotyphlops,haadi,185–185,19–20,S,330–384,U,11–12,U,2.2–2.8,65–200,0,–
Liotyphlops,palauophis,361–361,26,S,573,U,19,U,2.3–2.3,~ 2550,0,–
Liotyphlops,pino,196,22,S,425,U,11,U,1.6,40,0,–
Liotyphlops,schubarti,80–245,20–22,S,372–463,U,11–14,U,2.7–3.1,585–700,0,–
Liotyphlops,taylori,239–239,20,S,455,U,14,U,1.9,350,0,–
Liotyphlops,ternetzii,88–413,20–24,S,353–539,U,10–22,U,1.5–4.0,25–1000,0,2–7
Liotyphlops,trefauti,362–389,22,S,520–548,U,8–9,U,1.1–1.3,50–640,0,–
Liotyphlops,wilderi,68–290,20–22,S,304–402,U,12–19,U,2.7–3.7,300–1030,0,–
Loveridgelaps,elapoides,600–1388,17,S,193–222,E,25–38,2,8.7–9.1,0–810,0,9
Loxocemus,bicolor,320–1530,31–35,S,234–270,D,34–52,2,9.1–14.1,15–980,0,2–12
Lycodon,albofuscus,919–1676,17,K,220–259,E/D,113–208,2,33.3–39.0,20–1100,0,–
Lycodon,alcalai,490–787,17,S,203–207,E,108–126,2,28.8–28.8,130–320,0,–
Lycodon,anakradaya,285–980,17,S/k,223–232,D,87,2,19.3–19.4,495–580,0,–
Lycodon,anamallensis,372–902,17,S,172–204,D,59–74,2,16.7–20.2,300,0,–
Lycodon,aulicus,100–1200,17,S,170–232,D(E),50–83,2,12.2–21.6,0–2745,0,3–16
Lycodon,banksi,465,17,S/k,241,E,26+,2,~12.0,165,0,–
Lycodon,bibonius,511–900,17,S,204–212,E,110–120,2,27.4–27.4,0–70,0,–
Lycodon,bicolor,165–469,17,S,163–195,D,44–70,1,17.4–29.1,280–2000,0,2–12
Lycodon,butleri,230–1000,17,S/k,216–236,E,81–97,2,19.0–28.0,1000–3000,0,–
Lycodon,capucinus,140–816,17,S,176–224,E,53–89,2,12.2–23.3,25–700,0,3–11
Lycodon,cardamomensis,316–896,17–19,S/k,215–229,E,86–93,2,20.0–27.0,500–700,0,–
Lycodon,carinatus,182–730,17–21,K,180–202,E,42–64,1,17.1–17.3,150–1500,0,4
Lycodon,cathaya,563–911,17,S,199–200,E,78,2,19.8–19.8,1000,0,–
Lycodon,cavernicolus,215–508,17,S/k,232–245,E,92–113,2,20.0–27.0,175–325,0,–
Lycodon,chapaense,691–1174,17,S/k,196–231,E,74–88,2,17.1–23.0,500–2030,0,–
Lycodon,chithrasekarai,257–436,15,S,228–243,D,99–103,2,22.6–24.8,45–655,0,–
Lycodon,chrysoprateros,502–780,17,S,186–201,E,111–117,2,29.2–29.2,30,0,–
Lycodon,davidi,390,17,S/k,224,E,99,2,20.9,270,0,–
Lycodon,davisoni,250–1125,13,S,220–265,E,90–112,2,18.7–24.7,0–1900,0,3–4
Lycodon,deccanensis,200–450,17,S,181–214,E(D),58–84,2,10.1–20.7,675–1400,0,–
Lycodon,dumerilii,304–815,17,S,195–229,E,111–123,2,24.9–29.7,35–855,0,–
Lycodon,effraenis,264–720,17,S,214–233,E,72–102,2,15.7–24.3,30–700,0,3–9
Lycodon,fasciatus,181–956,17,S/k,182–229,E,62–96,2,19.0–22.6,200–2500,0,4–14
Lycodon,fasciolatus,213–638,17,S,174–204,D(E),59–74,2,14.1–20.2,0–30,0,2–8
Lycodon,fausti,306–930,17,S,207,E,135–140,2,23.7–32.1,0–600,0,–
Lycodon,ferroni,382–382,13,S,203–215,E,109–114,2,25.1–25.1,40,0,–
Lycodon,flavicollis,130–637,17,S,204–224,D,57–76,2,12.0–21.3,300–600,0,8
Lycodon,flavomaculatus,241–570,17,S,165–183,D,53–63,2,21.6–27.5,50–800,0,3–4
Lycodon,flavozonatum,251–1440,17,S/k,202–240,D/E,63–102,2,15.4–24.6,400–1210,0,–
Lycodon,futsingense,150–940,16–17,S,193–230,E,72–100,2,19.1–22.9,15–1200,0,4–7
Lycodon,gammiei,539–1250,17–19,S/k,205–228,E,94–113,2,19.0–26.3,1060–2285,0,–
Lycodon,gibsonae,536–1100,17,S/k,203–226,E,79–96,2,19.8–19.8,385,0,–
Lycodon,gongshan,307–1003,17,S/k,203–216,E,79–96,2,20.6–27.0,1410–1845,0,–
Lycodon,gracilis,252–620,15,S,199–252,E(D),75–93,2,18.9–21.2,0–200,0,3–4
Lycodon,hypsirhinoides,80–735,17,S,188–213,D,61–75,2,14.4–24.1,25–80,0,–
Lycodon,jara,128–550,17,S,164–189,D,45–76,2,15.6–24.0,10–1005,0,2–8
Lycodon,kundui,225,15,S,186,D,70,2,16.9,100,0,–
Lycodon,laoensis,374–565,17,S,160–192,D,54–76,2,15.9–23.5,215–1820,0,5
Lycodon,liuchengchaoi,389–828,17,S/k,190–228,E/D,68–81,2,16.0–24.8,675–1950,0,4
Lycodon,mackinnoni,260–465,17,S,162–193,D(E),48–57,2,11.7–25.7,1860–1900,0,4
Lycodon,meridionale,750–1950,17,S/k,227–257,E(D),96–118,2,19.1–21.9,25–1700,0,3–15
Lycodon,muelleri,285–634,17,S,203–213,E,112–127,2,27.5–31.0,40–1235,0,–
Lycodon,multifasciatus,200–1000,17–19,S/k,227–238,E,106–119,2,24.0–26.0,0–525,0,2–6
Lycodon,multizonatus,218–665,17,S/k,190–202,D,56–81,2,16.0–20.6,675–1980,0,–
Lycodon,namdongensis,723,17,S,218,E,85,2,20.5,615,0,–
Lycodon,neomaculatus,192+–900,17,S/k,187–208,D,68–84,2,17.8–22.1,150–800,0,–
Lycodon,nympha,125–620,13–15,S,199–244,D,65–88,2,19.6–22.9,15–625,0,3
Lycodon,obvelatus,551,17,S/k,199,E,76,2,18.9,1245,0,–
Lycodon,ophiophagus,399–909,17,S/k,211–212,E,87–90,2,20.1–22.8,30–200,0,7
Lycodon,orientale,210–1060,17–19,S/k,194–226,D,60–87,2,13.1–25.6,15–1750,0,1–9
Lycodon,paucifasciatus,673–777,17–19,S/k,219–222,E/D,90–92,2,20.4–20.4,255–1195,0,–
Lycodon,philippinus,241–650,15,S,216–225,E,87–116,2,23.5–23.7,0–20,0,8
Lycodon,pictus,237–597,17,S,209–218,E,82–91,2,18.0–23.0,235–700,0,–
Lycodon,rosozonatum,593–1120,19,S/k,219–234,E,61–92,2,11.6–21.5,15–580,0,–
Lycodon,rufozonatum,198–1500,17–19,S/k,164–229,E,45–98,2,11.9–25.6,40–1800,0,2–24
Lycodon,ruhstrati,150–1055,17,S(k),193–230,E,64–119,2,18.6–28.2,45–1850,0,4–10
Lycodon,sealei,247–832,17,S/k,198–211,D,59–69,2,14.8–18.4,10–1500,0,5–7
Lycodon,semicarinatum,203–2080,17,S/k,210–234,E,85–108,2,12.9–21.9,0–270,0,2–7
Lycodon,septentrionale,262–1187,17,S/k,197–233,E,70–104,2,14.7–26.1,220–2100,0,4–12
Lycodon,serratus,628,17,S,198,D,84,2,23.6,2000–2200,0,–
Lycodon,sidiki,249–830,17,S/k,195–212,E,77–91,2,19.3–23.9,5–1615,0,–
Lycodon,solivagus,946–946,17,S,198–203,E,112–115,2,29.2–29.2,10–200,0,–
Lycodon,stormi,250–720,19,S,217–231,E,73–78,1,18.3–18.3,5–1365,0,–
Lycodon,striatus,90–600,17,S,142–184,D(E),33–66,2(1),11.6–21.8,0–1830,0,2–9
